Submitted At,Symbol,Side,Status,Notional,Filled Qty,Filled Avg Price,Filled Value,Client Order ID,Strategy Type,Strategy Name
2026-02-12 07:07:27.058174+00:00,KMT,BUY,ACCEPTED,834.360000,0.000000,0.000000,0.000000,strategies.momentum.clenow_trend:b7b730581f3c4ee1,Momentum,Clenow Trend
2026-02-12 07:07:27.012322+00:00,FTRE,BUY,ACCEPTED,317.460000,0.000000,0.000000,0.000000,strategies.momentum.clenow_trend:097f9033f28f4228,Momentum,Clenow Trend
2026-02-12 07:07:26.966140+00:00,NEOG,BUY,ACCEPTED,1000.000000,0.000000,0.000000,0.000000,strategies.momentum.clenow_trend:f04092e247164ad9,Momentum,Clenow Trend
2026-02-12 07:07:26.891029+00:00,MATX,BUY,ACCEPTED,642.380000,0.000000,0.000000,0.000000,strategies.momentum.clenow_trend:1461598130a24572,Momentum,Clenow Trend
2026-02-12 07:07:26.845013+00:00,LCII,BUY,ACCEPTED,821.520000,0.000000,0.000000,0.000000,strategies.momentum.clenow_trend:49d127e613464c2f,Momentum,Clenow Trend
2026-02-12 07:07:26.797758+00:00,SATS,BUY,ACCEPTED,423.820000,0.000000,0.000000,0.000000,strategies.momentum.clenow_trend:94e1979d57ee4b21,Momentum,Clenow Trend
2026-02-12 07:07:26.752024+00:00,KALU,BUY,ACCEPTED,563.770000,0.000000,0.000000,0.000000,strategies.momentum.clenow_trend:6ece7aab56dd48af,Momentum,Clenow Trend
2026-02-12 07:07:26.704964+00:00,TER,BUY,ACCEPTED,443.130000,0.000000,0.000000,0.000000,strategies.momentum.clenow_trend:a42da07dc13e48b3,Momentum,Clenow Trend
2026-02-12 07:07:26.656917+00:00,AA,BUY,ACCEPTED,503.700000,0.000000,0.000000,0.000000,strategies.momentum.clenow_trend:821304c690074821,Momentum,Clenow Trend
2026-02-12 07:07:26.607349+00:00,COHR,BUY,ACCEPTED,415.860000,0.000000,0.000000,0.000000,strategies.momentum.clenow_trend:925d4f61d01e4a5d,Momentum,Clenow Trend
2026-02-12 07:07:26.561537+00:00,FORM,BUY,ACCEPTED,359.200000,0.000000,0.000000,0.000000,strategies.momentum.clenow_trend:c0c4c0ec31714bcb,Momentum,Clenow Trend
2026-02-12 07:07:26.514577+00:00,ARWR,BUY,ACCEPTED,611.550000,0.000000,0.000000,0.000000,strategies.momentum.clenow_trend:bd326d27e01e4d36,Momentum,Clenow Trend
2026-02-12 07:07:26.467674+00:00,ALB,BUY,ACCEPTED,477.050000,0.000000,0.000000,0.000000,strategies.momentum.clenow_trend:aab9710b1a224714,Momentum,Clenow Trend
2026-02-12 07:07:26.421114+00:00,MU,BUY,ACCEPTED,395.710000,0.000000,0.000000,0.000000,strategies.momentum.clenow_trend:c3fb7a86e31a4660,Momentum,Clenow Trend
2026-02-12 07:07:26.373970+00:00,HL,BUY,ACCEPTED,301.490000,0.000000,0.000000,0.000000,strategies.momentum.clenow_trend:d03ecaf195ab4208,Momentum,Clenow Trend
2026-02-12 07:07:26.326278+00:00,WDC,BUY,ACCEPTED,330.250000,0.000000,0.000000,0.000000,strategies.momentum.clenow_trend:e544601079124330,Momentum,Clenow Trend
2026-02-12 07:07:26.280654+00:00,VSCO,BUY,ACCEPTED,535.960000,0.000000,0.000000,0.000000,strategies.momentum.clenow_trend:5454ff8de2d849ff,Momentum,Clenow Trend
2026-02-12 07:07:26.229595+00:00,VICR,BUY,ACCEPTED,409.290000,0.000000,0.000000,0.000000,strategies.momentum.clenow_trend:c3aca4c595844691,Momentum,Clenow Trend
2026-02-12 07:07:26.182861+00:00,LITE,BUY,ACCEPTED,350.530000,0.000000,0.000000,0.000000,strategies.momentum.clenow_trend:4ac7107a315d4c54,Momentum,Clenow Trend
2026-02-12 07:07:26.136416+00:00,SNDK,BUY,ACCEPTED,262.970000,0.000000,0.000000,0.000000,strategies.momentum.clenow_trend:56e9e5ba478f42ae,Momentum,Clenow Trend
2026-02-11 09:00:43.423564+00:00,VSCO,BUY,CANCELED,500.000000,0.000000,0.000000,0.000000,strategies.momentum.clenow_trend:6614e9d47c0d4b2a,Momentum,Clenow Trend
2026-02-11 09:00:43.419261+00:00,VICR,BUY,CANCELED,500.000000,0.000000,0.000000,0.000000,strategies.momentum.clenow_trend:45a02c68fb854925,Momentum,Clenow Trend
2026-02-11 09:00:43.415197+00:00,FTRE,BUY,CANCELED,500.000000,0.000000,0.000000,0.000000,strategies.momentum.clenow_trend:2eb21e65920a47be,Momentum,Clenow Trend
2026-02-11 09:00:43.410579+00:00,MATX,BUY,CANCELED,500.000000,0.000000,0.000000,0.000000,strategies.momentum.clenow_trend:e08f68a21e2c48be,Momentum,Clenow Trend
2026-02-11 09:00:43.396924+00:00,KALU,BUY,CANCELED,500.000000,0.000000,0.000000,0.000000,strategies.momentum.clenow_trend:5805b71984f84964,Momentum,Clenow Trend
2026-02-11 09:00:43.392375+00:00,COHR,BUY,CANCELED,500.000000,0.000000,0.000000,0.000000,strategies.momentum.clenow_trend:598c3a1f665f4d58,Momentum,Clenow Trend
2026-02-11 09:00:43.388076+00:00,FORM,BUY,CANCELED,500.000000,0.000000,0.000000,0.000000,strategies.momentum.clenow_trend:15a8f7d0f48841dc,Momentum,Clenow Trend
2026-02-11 09:00:43.383576+00:00,AEO,BUY,CANCELED,500.000000,0.000000,0.000000,0.000000,strategies.momentum.clenow_trend:dd237f1d6e384df3,Momentum,Clenow Trend
2026-02-11 09:00:43.379137+00:00,SATS,BUY,CANCELED,500.000000,0.000000,0.000000,0.000000,strategies.momentum.clenow_trend:29b38ea543c1436e,Momentum,Clenow Trend
2026-02-11 09:00:43.374386+00:00,ALB,BUY,CANCELED,500.000000,0.000000,0.000000,0.000000,strategies.momentum.clenow_trend:819dbb21b4ea446a,Momentum,Clenow Trend
2026-02-11 09:00:43.369732+00:00,HL,BUY,CANCELED,500.000000,0.000000,0.000000,0.000000,strategies.momentum.clenow_trend:11d14c4267054120,Momentum,Clenow Trend
2026-02-11 09:00:43.365126+00:00,ARWR,BUY,CANCELED,500.000000,0.000000,0.000000,0.000000,strategies.momentum.clenow_trend:26c217f16883488f,Momentum,Clenow Trend
2026-02-11 09:00:43.360299+00:00,AA,BUY,CANCELED,500.000000,0.000000,0.000000,0.000000,strategies.momentum.clenow_trend:cb5717b990da4a00,Momentum,Clenow Trend
2026-02-11 09:00:43.355645+00:00,KMT,BUY,CANCELED,500.000000,0.000000,0.000000,0.000000,strategies.momentum.clenow_trend:d943d55e3f97404d,Momentum,Clenow Trend
2026-02-11 09:00:43.351150+00:00,LCII,BUY,CANCELED,500.000000,0.000000,0.000000,0.000000,strategies.momentum.clenow_trend:99988f2d0de94c5d,Momentum,Clenow Trend
2026-02-11 02:53:54.091780+00:00,TER,BUY,CANCELED,500.000000,0.000000,0.000000,0.000000,strategies.momentum.clenow_trend:6f60833359a64202,Momentum,Clenow Trend
2026-02-11 02:53:53.994270+00:00,MU,BUY,CANCELED,500.000000,0.000000,0.000000,0.000000,strategies.momentum.clenow_trend:2faba35e99b34e89,Momentum,Clenow Trend
2026-02-11 02:53:53.978987+00:00,WDC,BUY,CANCELED,500.000000,0.000000,0.000000,0.000000,strategies.momentum.clenow_trend:bc6d4e19595e4bcf,Momentum,Clenow Trend
2026-02-11 02:53:53.910481+00:00,LITE,BUY,CANCELED,500.000000,0.000000,0.000000,0.000000,strategies.momentum.clenow_trend:5ffddaabb973443f,Momentum,Clenow Trend
2026-02-11 02:53:53.891679+00:00,SNDK,BUY,CANCELED,500.000000,0.000000,0.000000,0.000000,strategies.momentum.clenow_trend:be3e0f4dccea41e5,Momentum,Clenow Trend
2026-02-02 20:37:43.763028+00:00,SNPS,BUY,FILLED,0.000000,40.000000,459.790000,18391.600000,64b9784e-5997-47cd-8ad7-2ca3d10a1316,64B9784E-5997-47Cd-8Ad7-2Ca3D10A1316,
